segment_key,tau,coverage,late_rate,average_promised,average_actual,expected_cost,sample_count
d01_s01,0.9,1.0,0.0,6.100664647424349,5.405712236758685,0.6949524106656639,1.0
d01_s02,0.9,1.0,0.0,6.413394690520092,4.610254098264388,1.8031405922557038,3.0
d01_s03,0.9,1.0,0.0,7.227517493197349,4.16418160282731,3.06333589037004,5.0
d01_s04,0.9,1.0,0.0,7.596471360604343,4.338989724452738,3.257481636151605,6.0
d01_s05,0.9,1.0,0.0,8.429109993013691,4.640937717271441,3.78817227574225,2.0
d01_s06,0.9,1.0,0.0,8.317720193335743,4.36793528387564,3.949784909460103,6.0
d01_s07,0.9,1.0,0.0,9.093019290523774,5.764496208894746,3.3285230816290285,4.0
d01_s08,0.9,1.0,0.0,9.087350271683576,4.161298687550285,4.92605158413329,2.0
d01_s09,0.9,0.8,0.19999999999999996,10.418131736084026,8.14419793782176,2.4452350126140323,5.0
d01_s10,0.9,0.5,0.5,11.558537591269443,11.647843596236388,1.2701282300599335,2.0
d02_s01,0.9,0.8571428571428571,0.1428571428571429,7.18057400779834,4.481906810841095,4.227280279587327,7.0
d02_s02,0.9,1.0,0.0,7.688744087791562,4.773714230531883,2.9150298572596802,5.0
d02_s03,0.9,1.0,0.0,7.633078566194302,5.982483042084465,1.6505955241098371,3.0
d02_s04,0.9,1.0,0.0,8.103333424774819,5.489363463704478,2.6139699610703397,2.0
d02_s05,0.9,1.0,0.0,8.758107369872802,5.833421802783526,2.9246855670892757,8.0
d02_s06,0.9,0.5,0.5,8.919434163349283,10.37177357078448,10.604391761987667,2.0
d02_s07,0.9,1.0,0.0,9.489365204947376,8.4852049245321,1.0041602804152747,2.0
d02_s08,0.9,0.75,0.25,10.768997627011753,9.90783988303962,1.878657001723789,4.0
d02_s09,0.9,1.0,0.0,11.216962412876082,8.008920624179172,3.20804178869691,2.0
d02_s10,0.9,1.0,0.0,14.568129995890503,11.933587563270052,2.634542432620452,2.0
d03_s01,0.9,1.0,0.0,7.8698113572359585,3.9013849480083764,3.9684264092275825,2.0
d03_s02,0.9,0.8,0.19999999999999996,8.139318790914682,5.455273992759563,2.804834032225105,5.0
d03_s03,0.9,1.0,0.0,8.5624232901812,7.299502494464216,1.262920795716986,2.0
d03_s04,0.9,0.6666666666666666,0.33333333333333337,9.039498663674054,7.804949195882972,2.0156731187323857,3.0
d03_s05,0.9,1.0,0.0,9.720126504246492,6.302780703155407,3.4173458010910838,6.0
d03_s06,0.9,1.0,0.0,10.109724399249098,9.458988246645,0.6507361526040993,2.0
d03_s07,0.9,1.0,0.0,10.414829974237595,8.528978239981408,1.885851734256188,3.0
d03_s08,0.9,1.0,0.0,10.953867838307863,8.39675792569564,2.557109912612223,6.0
d03_s09,0.9,0.8,0.19999999999999996,11.59689006047369,10.40391608079163,1.6194138831077343,5.0
d03_s10,0.9,1.0,0.0,21.191789491635724,19.193756642829555,1.9980328488061652,2.0
d04_s01,0.9,0.6666666666666666,0.33333333333333337,8.722581346063178,6.716246593597671,2.533283807938674,3.0
d04_s02,0.9,1.0,0.0,8.799257307500675,4.418176793414955,4.38108051408572,6.0
d04_s03,0.9,1.0,0.0,9.396452233463455,6.888022465380734,2.508429768082721,4.0
d04_s04,0.9,1.0,0.0,9.387106949048613,6.98862419784054,2.398482751208073,4.0
d04_s05,0.9,1.0,0.0,10.574088279864858,6.4571321134506405,4.116956166414219,4.0
d04_s06,0.9,1.0,0.0,10.39624904452064,6.9030885846110674,3.493160459909574,5.0
d04_s07,0.9,1.0,0.0,10.814739861126025,8.513483529478348,2.301256331647677,1.0
d04_s08,0.9,1.0,0.0,11.829042888618169,8.808114802596952,3.0209280860212178,3.0
d04_s09,0.9,1.0,0.0,12.73843225161977,11.337379986103794,1.4010522655159754,2.0
d04_s10,0.9,0.6,0.4,15.288925350001506,14.498790952892767,3.500371690317651,5.0
d05_s01,0.9,1.0,0.0,9.599222760580739,6.879849592614612,2.719373167966127,3.0
d05_s02,0.9,1.0,0.0,10.194694410234064,6.824830063122701,3.3698643471113625,2.0
d05_s03,0.9,0.8571428571428571,0.1428571428571429,10.533974121240357,7.896580968616577,2.8857597240309083,7.0
d05_s04,0.9,1.0,0.0,11.552776407060747,8.853570465129286,2.699205941931462,1.0
d05_s05,0.9,1.0,0.0,11.761531037513702,10.580804831936156,1.1807262055775478,2.0
d05_s06,0.9,0.8333333333333334,0.16666666666666663,11.257623910028045,9.126716588729089,3.592941316740434,6.0
d05_s07,0.9,0.8,0.19999999999999996,11.775708249240216,10.258733379624951,3.123999229255415,5.0
d05_s08,0.9,1.0,0.0,13.20432387687182,9.280328579550787,3.9239952973210332,1.0
d05_s09,0.9,0.6,0.4,13.480931405943258,11.545615148905615,3.2139708772772195,5.0
d05_s10,0.9,0.75,0.25,15.863646129229966,14.384670817996959,3.9490426796835303,4.0
d06_s01,0.9,1.0,0.0,10.013180337874138,8.490948526228946,1.5222318116451936,6.0
d06_s03,0.9,1.0,0.0,11.187954309085676,8.299177859303702,2.8887764497819726,4.0
d06_s04,0.9,0.8333333333333334,0.16666666666666663,11.723891603684718,9.425844824202658,3.186247795770617,6.0
d06_s05,0.9,1.0,0.0,11.962000756617408,7.11093400387397,4.851066752743439,1.0
d06_s06,0.9,0.8,0.19999999999999996,12.343151417777253,10.309025147326649,2.6763905310710516,5.0
d06_s07,0.9,1.0,0.0,12.670189528347644,9.874647247438332,2.7955422809093102,4.0
d06_s08,0.9,1.0,0.0,13.55826692007679,11.408423636948859,2.1498432831279337,6.0
d06_s09,0.9,1.0,0.0,13.854372038859285,9.948241219873761,3.9061308189855244,4.0
d06_s10,0.9,1.0,0.0,17.332965074965834,16.328442563886348,1.004522511079486,1.0
d07_s01,0.9,1.0,0.0,11.39589574568744,8.73551798216542,2.6603777635220194,4.0
d07_s02,0.9,1.0,0.0,11.260625638171314,8.887346205291841,2.3732794328794737,3.0
d07_s03,0.9,1.0,0.0,12.083360073260899,6.622951020575836,5.460409052685063,1.0
d07_s04,0.9,1.0,0.0,12.335980659780278,10.089789130172475,2.246191529607801,7.0
d07_s05,0.9,1.0,0.0,13.13787480584544,10.359117149557813,2.7787576562876275,3.0
d07_s06,0.9,1.0,0.0,12.88775880457763,7.9525965670267995,4.935162237550828,3.0
d07_s07,0.9,1.0,0.0,13.936513713847166,11.878153574371105,2.0583601394760627,4.0
d07_s08,0.9,0.8,0.19999999999999996,14.316209400852113,11.080793568980148,4.508550505267498,5.0
d07_s09,0.9,1.0,0.0,16.565431027677317,12.679644648973309,3.885786378704008,2.0
d07_s10,0.9,0.5,0.5,17.677726403569068,16.38492702208313,3.1944921990984456,4.0
d08_s01,0.9,1.0,0.0,13.032215153504644,10.167287239860231,2.864927913644413,3.0
d08_s02,0.9,0.8,0.19999999999999996,13.016278246127712,9.681936538860587,3.8271976716752585,5.0
d08_s03,0.9,0.5,0.5,13.149937423260074,11.712461965242758,4.9720793974313375,2.0
d08_s04,0.9,0.6666666666666666,0.33333333333333337,14.399857303104207,12.73891415970249,2.164589737970845,3.0
d08_s05,0.9,1.0,0.0,13.715707978574411,10.384978766394902,3.330729212179511,2.0
d08_s06,0.9,1.0,0.0,15.036356846566132,12.402926249681887,2.633430596884244,2.0
